COMPLETED_COUNT,NAME,DATE
20,completed_count,05/12/2022
29,completed_count,06/12/2022
30,completed_count,07/12/2022
35,completed_count,08/12/2022
34,completed_count,09/12/2022
50,completed_count,10/12/2022
55,completed_count,11/12/2022
44,completed_count,12/12/2022
14,completed_count,13/12/2022
23,completed_count,14/12/2022
20,completed_count,15/12/2022
27,completed_count,14/12/2022
50,in_progress_count,05/12/2022
80,in_progress_count,06/12/2022
77,in_progress_count,07/12/2022
74,in_progress_count,08/12/2022
69,in_progress_count,09/12/2022
55,in_progress_count,10/12/2022
45,in_progress_count,11/12/2022
40,in_progress_count,12/12/2022
30,in_progress_count,13/12/2022
20,in_progress_count,14/12/2022
10,in_progress_count,15/12/2022
5,in_progress_count,14/12/2022
